names,SCI_NM,CMMN_NM,Specie,CON_DEC,CROWN_AREA,names,min,max,avg,std,ske,kur,p05,p25,p50,p75,p90,c00,int_min,int_max,int_avg,int_std,int_ske,int_kur,int_p05,int_p25,int_p50,int_p75,int_p90,Shape_Area
652667,Acer rubrum,Red maple,1,1,516.667201,652667,1.47,4.56,2.24,1.09,1.06,2.52,1.48,1.52,1.57,2.83,3.67,11,2948,3082,3037,77.36,-0.58,1,2961,3015,3082,3082,3082,20
260188,Acer platanoides,Norway maple,1,1,581.2505996,260188,5.2,6.67,5.92,0.53,0.06,1.57,5.28,5.58,5.95,6.18,6.42,6,2948,3618,3305,249.49,-0.26,1.52,2981,3149,3350,3450,3551,27
640759,Acer rubrum,Red maple,1,1,645.8340003,640759,2.92,4.35,3.82,0.45,-0.78,2.73,3.15,3.68,3.82,4.12,4.27,8,2814,3618,3331,261.54,-1.01,2.83,2935,3283,3350,3484,3538,32
515338,Acer rubrum,Red maple,1,1,290.6252993,515338,3.12,6.12,4.1,0.98,1.26,3.29,3.23,3.56,3.86,4.22,5.01,7,3350,4154,3848,296.77,-0.47,1.78,3430,3685,3886,4087,4154,25
555710,Acer rubrum,Red maple,1,1,1506.945999,555710,4.59,11.76,7.84,2.68,0.23,1.53,4.74,5.88,7.93,9.43,11.11,7,3618,4556,4058,296.77,0.19,2.17,3698,3886,4154,4154,4315,38
160823,Acer rubrum,Red maple,1,1,710.4174007,160823,1.41,7.66,4.52,2.42,-0.02,1.48,1.43,2.36,4.41,6.57,7.48,11,2814,3752,3534,319.82,-1.52,3.78,3002,3551,3618,3752,3752,34
457569,Acer saccharinum,Silver maple,1,1,10.76390008,457569,2.45,5.42,3.87,0.9,0.27,2.05,2.76,3.19,3.76,4.29,5.13,11,3886,4958,4248,322.41,1.02,2.98,3946,4020,4154,4388,4596,32
237655,Acer rubrum,Red maple,1,1,1119.4456,237655,3.6,8.77,5.49,2.06,0.74,1.83,3.7,4.12,4.84,6.12,7.71,5,3216,4154,3725,346.85,-0.3,1.76,3296,3618,3752,3886,4047,30
603843,Acer rubrum,Red maple,1,1,204.5140993,603843,2.75,3.77,3.28,0.3,-0.15,2.23,2.82,3.15,3.29,3.44,3.66,12,3082,4154,3658,357.61,-0.15,1.68,3142,3484,3618,3986,4033,34
700254,Acer rubrum,Red maple,1,1,796.5285999,700254,1.4,5.7,4.97,0.77,-3.16,15.36,4.38,4.72,5.08,5.39,5.61,32,2680,4020,3225,359.45,0.62,2.35,2814,2948,3216,3417,3752,68
