Mean_NDSM,SCI_NM,CMMN_NM,CON_DEC,Specie,names,min,max,avg,std,ske,kur,p05,p25,p50,p75,p90,c00,int_min,int_max,int_avg,int_std,int_ske,int_kur,int_p05,int_p25,int_p50,int_p75,int_p90
579.6304348,Cryptomeria japonica,Japanese cryptomeria,0,,754,1.38,12.29,5.06,2.56,0.94,2.82,2.3,3.19,3.85,6.54,9.6,221,3082,32767,16255,7701.61,-0.03,1.88,4422,9782,16214,22421,26666
771.8596491,Cryptomeria japonica,Japanese cryptomeria,0,,2851,1.6,11.88,5.86,2.9,0.53,1.96,2.18,3.69,4.65,8.44,10.67,143,2680,28408,10756,7708.5,0.64,1.98,3082,3886,7370,16281,23128
349.3333333,Cryptomeria japonica,Japanese cryptomeria,0,,8861,1.37,4.66,2.79,1.02,0.21,1.83,1.38,2.21,2.52,3.64,4.25,29,4288,29480,17113,7247.19,-0.07,2.03,5414,12194,18090,20368,26880
2759.206107,Platanus occidentalis,American sycamore,1,4,10,1.49,38.69,26.31,5.85,-0.73,4.75,17.38,23.19,26.32,30.86,33.97,171,2680,21172,5811,3231.54,2.14,8.47,2948,3752,4556,6767,10184
1289.693038,Acer platanoides,Norway maple,1,1,17,1.38,29.78,9.15,5.51,0.99,4.21,2.1,5.28,8.11,12.65,15.14,1224,0,32767,11459,9052.34,0.86,2.27,3082,4154,6700,19028,26800
817.3928571,Quercus rubra,Red oak,1,2,21,4.91,11.88,7.24,2.16,1.08,2.93,4.93,6.13,6.55,8.07,10.61,14,2546,5628,3599,861.8,0.86,2.97,2546,3082,3350,4154,4516
1130.684211,Quercus rubra,Red oak,1,2,46,1.59,22.96,8.86,5.65,0.96,2.6,3.01,4.86,6.65,12.59,18.4,283,2546,29346,7475,6595.92,1.69,4.59,2827,3618,4288,7571,19403
1247.140884,Quercus rubra,Red oak,1,2,52,1.37,25.13,8.43,4.73,0.97,4.25,2.18,4.48,9.11,10.44,12.65,818,2412,32767,11712,8621.75,1.1,3.05,3082,5226,8442,16314,26228
1109.88764,Acer platanoides,Norway maple,1,1,55,1.37,15.82,9.35,3.49,-0.86,3.46,1.43,7.99,10.21,11.14,13.13,130,2412,32767,5638,5218.57,3.8,18.14,2680,3216,4020,5594,8871
815.2394366,Acer platanoides,Norway maple,1,1,61,1.43,11.63,7.41,2.51,-0.87,3.22,1.5,5.77,7.95,9.19,10.09,118,2278,32767,5048,4776.55,4.84,27.4,2680,3216,3886,5058,6566
